Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
Calponin-2,Q99439,0.140,0.539,-0.670,0.023,-0.137,-0.056,-1.092,1.086,-0.483,-0.525,0.339,-1.174,0.063,-0.627,-0.614,-0.496,0.155,-0.521,18,-0.37,-1.3,0.26964
Calreticulin,P27797,0.665,0.094,1.143,0.424,1.407,-1.769,0.851,0.718,-0.293,0.678,-0.026,0.705,-0.202,2.058,1.341,-0.266,2.113,0.134,18,0.43,1.3,0.41934
Calumenin,O43852,-0.313,-0.261,0.151,-0.245,0.193,-0.245,-0.517,0.160,-0.346,0.205,-0.181,-0.181,-0.537,-0.152,0.406,0.239,0.372,-0.490,18,0.14,1.1,0.41396
cAMP-dependent protein kinase catalytic subunit alpha,P17612,,,,,,,-0.292,0.704,0.411,,,,,,,0.013,-0.146,0.438,6,-0.21,-1.2,0.64103
cAMP-dependent protein kinase type I-alpha regulatory subunit,P10644,-0.059,-0.429,0.952,0.556,0.037,-0.056,-1.360,0.194,0.102,0.248,-0.363,-0.856,-0.374,-0.667,-0.003,0.977,-1.119,0.698,18,-0.11,-1.1,0.63240
cAMP-dependent protein kinase type II-alpha regulatory subunit,P13861,0.085,0.058,-0.008,0.420,0.486,-0.351,-0.026,-0.690,0.652,0.152,0.125,0.139,0.632,-1.148,0.512,0.625,-0.995,0.984,18,0.13,1.1,0.87644
cAMP-regulated phosphoprotein 19,P56211,-0.186,0.306,0.080,,,,,,,-0.026,-0.013,-0.292,,,,,,,6,-0.19,-1.1,0.35351
Cancer-related nucleoside-triphosphatase,Q9BSD7,-0.185,0.639,-1.167,-0.556,-0.490,-0.144,-2.089,-0.839,-0.376,0.214,-0.768,-1.395,0.360,-1.341,-0.490,0.621,-0.747,0.768,18,0.31,1.2,0.47940
CAP-Gly domain-containing linker protein 1,P30622,0.414,0.733,1.544,0.252,0.784,0.212,0.409,0.409,0.383,0.493,0.121,-0.569,0.731,0.133,0.625,0.490,0.689,0.356,18,-0.24,-1.2,0.25015
Caprin-1,Q14444,-0.039,-0.811,0.080,,,,,,,-0.066,-0.889,-0.066,,,,,,,6,-0.09,-1.1,0.84094
Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,Q8N1G2,-0.265,-0.226,-0.013,,,,,,,0.225,0.040,-0.240,,,,,,,6,0.18,1.1,0.32128
CapZ-interacting protein,Q6JBY9,-0.114,0.351,0.058,-0.079,-0.889,-1.207,-3.710,0.286,-1.228,0.364,-0.447,-4.270,-0.331,-0.955,-0.598,1.137,-0.458,-0.086,18,0.20,1.1,0.88235
Carabin,Q8IV04,-0.101,-1.441,0.604,,,,-1.029,-0.484,-0.789,-0.261,-0.963,-1.642,,,,0.035,-0.868,-0.669,12,-0.25,-1.2,0.63130
Carbohydrate kinase domain-containing protein,Q8IW45,-0.552,0.086,-0.247,0.063,-0.735,0.262,0.012,-0.068,-0.348,-0.274,-0.406,-0.301,-1.026,0.037,-0.296,-0.426,-0.426,-0.440,18,-0.23,-1.2,0.13438
Carbonic anhydrase 2,P00918,,,,-0.356,0.839,0.892,-0.388,-0.281,-0.321,,,,-2.560,-1.408,0.321,-0.840,-0.308,-0.135,12,-0.74,-1.7,0.10352
Carbonyl reductase [NADPH] 1,P16152,-1.421,0.853,0.707,0.201,-2.202,0.056,-0.909,-2.128,-1.692,-1.977,-0.117,-2.204,-0.223,-1.181,-0.809,0.726,-0.350,0.195,18,-0.09,-1.1,0.89975
Carbonyl reductase [NADPH] 3,O75828,,,,0.691,-0.425,-0.571,,,,,,,-0.504,-0.371,-0.862,,,,6,-0.58,-1.5,0.32356
Carbonyl reductase family member 4,Q8N4T8,0.139,-0.498,-0.550,0.147,-0.439,0.093,-0.286,0.432,-0.338,0.272,0.524,0.431,0.120,0.412,-0.013,-0.246,0.924,-0.167,18,0.40,1.3,0.03357
Carnitine O-acetyltransferase,P43155,0.067,-0.716,-0.158,,,,1.673,-1.929,0.465,-0.596,-0.158,1.263,,,,-0.970,0.371,0.092,12,-0.11,-1.1,0.86792
"Carnitine O-palmitoyltransferase 1, liver isoform",P50416,0.028,-0.477,0.878,0.066,0.252,0.610,,,,0.148,0.200,0.467,0.371,-0.267,0.212,,,,12,-0.08,-1.1,0.86694
"Carnitine O-palmitoyltransferase 2, mitochondrial",P23786,0.077,-0.549,-1.319,0.243,0.002,0.083,1.848,-1.326,-0.331,-0.482,-0.667,1.339,-2.109,-0.156,0.335,0.559,-1.154,-1.197,18,-0.24,-1.2,0.60114
Casein kinase I isoform alpha,P48729,-0.097,-0.415,-0.070,,,,0.495,-2.285,0.828,-0.004,-0.017,-0.509,,,,0.495,-0.728,0.084,12,-0.06,-1.0,0.76963
Casein kinase II subunit alpha,P68400,0.053,0.120,-0.079,0.437,0.091,0.344,0.625,-1.035,0.346,0.254,0.200,0.068,0.119,-0.359,-0.015,0.161,0.120,0.400,18,-0.04,-1.0,0.97876
Casein kinase II subunit alpha',P19784,-0.239,-0.079,0.173,,,,-0.107,-0.611,0.093,0.093,-0.625,-0.452,,,,-0.266,-0.238,0.000,12,-0.12,-1.1,0.46588
Casein kinase II subunit beta,P67870,0.088,0.353,0.381,0.648,-0.229,0.236,0.406,-0.243,0.301,0.287,0.101,-0.018,0.383,-0.096,0.249,0.248,-0.059,0.539,18,-0.05,-1.0,0.78311
Caseinolytic peptidase B protein homolog,Q9H078,-0.070,0.382,0.462,0.322,0.016,0.681,,,,0.462,0.116,0.235,0.230,0.123,0.216,,,,12,-0.09,-1.1,0.59777
Caspase activity and apoptosis inhibitor 1,Q9H8G2,-0.299,-0.380,0.085,,,,-0.072,0.127,-0.218,-0.299,-0.234,0.378,,,,-0.364,0.034,-0.258,12,0.01,1.0,0.98768
Caspase recruitment domain-containing protein 11,Q9BXL7,-0.813,0.156,-0.123,-0.249,-0.621,0.110,,,,0.608,-0.787,-0.588,-0.354,-0.342,-0.089,,,,12,0.03,1.0,0.99394
Caspase-1,P29466,0.071,1.678,0.602,1.088,-1.369,1.261,-0.189,0.170,-0.441,-2.627,1.373,-2.364,-0.306,-1.037,-0.903,-0.561,0.542,-0.787,18,-0.84,-1.8,0.06037
Caspase-3,P42574,-0.466,-0.133,-0.133,-0.053,-0.067,-0.186,,,,1.369,-0.452,-0.306,0.398,-0.040,-0.173,,,,12,0.45,1.4,0.30243
Caspase-4,P49662,,,,0.225,-0.438,0.438,,,,,,,-0.146,0.957,-0.849,,,,6,0.06,1.0,0.88852
Caspase-8,Q14790,,,,,,,-0.371,0.293,-0.133,,,,,,,0.678,0.411,0.411,6,0.55,1.5,0.05569
Cat eye syndrome critical region protein 5,Q9BXW7,-1.001,-0.018,0.939,,,,0.708,-0.288,0.217,0.341,0.421,1.471,,,,1.054,0.297,0.164,12,0.48,1.4,0.16623
Catalase,P04040,-0.016,1.233,0.355,0.956,-0.001,-0.014,0.721,0.748,-0.594,1.140,-1.930,0.967,0.531,0.983,-0.705,-0.063,0.522,0.416,18,-0.04,-1.0,0.66257
Catechol O-methyltransferase,P21964,,,,0.279,-0.199,0.119,,,,,,,0.425,0.160,0.080,,,,6,0.15,1.1,0.42431
Catenin alpha-1,P35221,,,,0.013,0.265,0.438,,,,,,,-0.226,0.199,-0.039,,,,6,-0.26,-1.2,0.20868
Cathepsin B,P07858,-0.795,0.068,0.905,-0.447,-0.260,0.124,-0.698,0.073,-0.736,1.278,-1.060,-1.977,-0.234,-0.195,-0.567,0.166,-0.272,-0.114,18,0.00,1.0,0.70308
Cathepsin D,P07339,-0.640,-0.044,0.368,-0.170,0.256,-0.143,0.864,-0.876,-0.479,-0.230,-0.336,0.474,-0.210,0.321,-0.462,0.307,-0.730,0.506,18,0.03,1.0,0.81384
Cathepsin G,P08311,,,,,,,2.618,4.119,3.016,,,,,,,3.269,3.202,0.172,6,-0.66,-1.6,0.40537
Cathepsin S,P25774,-0.302,-0.275,-0.223,-0.383,0.147,-0.105,0.419,0.248,-0.111,-0.009,-0.223,0.390,-0.928,0.440,0.187,-0.602,-0.125,-0.470,18,-0.05,-1.0,0.64456
Cathepsin Z,Q9UBR2,,,,-0.116,0.003,0.003,-0.110,-0.057,-0.136,,,,-0.063,-0.236,0.003,-0.096,-0.110,0.103,12,0.00,1.0,0.96627
Cation-dependent mannose-6-phosphate receptor,P20645,-0.111,-0.190,0.115,-0.834,-0.277,0.215,1.065,0.096,-0.795,0.076,0.208,0.208,0.414,0.295,0.494,-0.476,0.241,0.175,18,0.18,1.1,0.23399
Cation-independent mannose-6-phosphate receptor,P11717,,,,-0.398,-0.253,0.000,,,,,,,0.318,0.651,-1.050,,,,6,0.35,1.3,0.73943
"CCA tRNA nucleotidyltransferase 1, mitochondrial",Q96Q11,0.184,-0.228,0.941,0.122,-0.038,0.215,-0.106,0.079,0.001,0.304,-0.028,-1.051,0.002,-0.329,0.149,0.199,-0.053,0.001,18,-0.22,-1.2,0.22653
CCAAT/enhancer-binding protein zeta,Q03701,-0.141,-0.154,0.032,-0.351,0.087,0.194,,,,-0.154,0.139,0.032,0.273,-0.351,-0.098,,,,12,0.03,1.0,0.81577
CCR4-NOT transcription complex subunit 10,Q9H9A5,,,,-0.160,0.027,1.302,,,,,,,0.080,0.225,0.160,,,,6,-0.39,-1.3,0.63755
CCR4-NOT transcription complex subunit 3,O75175,,,,-0.425,-0.571,-0.026,,,,,,,0.013,-0.411,-0.146,,,,6,0.15,1.1,0.47919
CCR4-NOT transcription complex subunit 7,Q9UIV1,,,,,,,0.239,0.531,-0.120,,,,,,,0.346,0.094,0.558,6,0.10,1.1,0.64256
CD180 antigen,Q99467,0.326,0.207,0.246,0.442,0.561,0.455,0.907,0.547,-0.819,-0.139,-0.098,-0.165,0.016,-0.874,-0.223,-0.317,-0.156,0.216,18,-0.55,-1.5,0.01435
CD2 antigen cytoplasmic tail-binding protein 2,O95400,-0.415,0.104,-0.175,-0.208,-0.208,-0.420,0.955,-2.157,0.928,-0.467,-0.015,-0.428,-0.036,-0.248,-0.275,-1.119,0.424,-0.427,18,-0.28,-1.2,0.74533
CD2-associated protein,Q9Y5K6,0.230,0.323,-1.391,-0.288,-0.009,0.151,-0.832,0.363,-0.115,0.563,0.748,-0.261,-0.009,0.456,-0.089,0.230,0.336,0.230,18,0.36,1.3,0.07916
CD44 antigen,P16070,0.509,-0.313,-0.420,-0.480,0.026,-0.493,-0.084,-0.269,-0.084,0.085,-0.367,0.909,0.424,0.835,0.091,0.023,0.235,0.581,18,0.51,1.4,0.01204
CD48 antigen,P09326,0.160,0.318,-0.173,,,,,,,-0.637,0.531,-0.240,,,,,,,6,-0.15,-1.1,0.59135
CD81 antigen,P60033,,,,0.465,0.265,0.744,,,,,,,0.452,0.147,0.040,,,,6,-0.28,-1.2,0.20824
CD82 antigen,P27701,0.306,0.599,-0.557,0.226,0.147,-0.663,0.251,0.051,-0.520,-0.411,0.160,-0.757,0.240,-0.173,-0.437,-0.002,-0.160,-0.280,18,-0.21,-1.2,0.32616
CD97 antigen,P48960,,,,-0.664,0.225,0.492,,,,,,,-0.333,-0.398,-0.969,,,,6,-0.64,-1.6,0.22153
CD99 antigen,P14209,-0.664,-0.664,0.054,,,,-0.265,-0.013,-0.358,0.092,-0.119,0.173,,,,0.213,-0.265,-0.438,12,0.25,1.2,0.14478
Cdc42-interacting protein 4,Q15642,,,,,,,0.306,-0.969,-0.226,,,,,,,0.172,0.186,-0.092,6,0.30,1.2,0.36864
CDGSH iron-sulfur domain-containing protein 1,Q9NZ45,0.504,-0.717,-1.887,,,,-0.052,-0.692,-1.726,-1.527,-1.076,2.245,,,,-1.316,0.531,0.797,12,1.13,2.2,0.34994
CDGSH iron-sulfur domain-containing protein 2,Q8N5K1,0.423,0.091,-0.148,-0.252,0.479,-1.130,0.266,-0.278,-0.052,0.131,-1.025,0.278,0.452,0.705,-0.504,-1.728,0.771,0.771,18,0.18,1.1,0.88275
CDK5 regulatory subunit-associated protein 3,Q96JB5,-0.085,-0.058,-0.297,-0.094,-0.040,-0.267,-0.021,0.019,-0.445,-0.191,-0.218,0.127,0.053,0.078,-0.452,-1.029,0.404,0.351,18,0.09,1.1,0.77412
CDK-activating kinase assembly factor MAT1,P51948,,,,0.213,0.225,-0.053,,,,,,,0.199,0.358,-0.186,,,,6,0.01,1.0,0.98139
CDKN2A-interacting protein,Q9NXV6,0.240,0.319,-0.013,0.118,-0.453,-1.093,-1.129,-1.196,0.108,-1.898,-0.132,-0.359,-0.373,-0.147,0.105,-0.345,0.306,0.413,18,0.07,1.1,0.81265
Cell cycle regulator Mat89Bb homolog,Q9NVM9,0.093,0.425,-0.147,0.332,-0.066,0.452,,,,0.478,-0.199,0.824,0.399,0.079,0.279,,,,12,0.15,1.1,0.48534
Cell differentiation protein RCD1 homolog,Q92600,,,,-0.253,-0.678,-0.213,,,,,,,0.213,-0.559,-0.213,,,,6,0.22,1.2,0.50695
Cell division control protein 42 homolog,P60953,-0.437,0.627,0.906,0.738,-1.095,1.202,-1.098,-0.328,-0.061,-0.622,0.162,-1.618,0.711,-0.804,-1.735,-0.101,-0.009,0.615,18,-0.42,-1.3,0.31345
Cell division cycle 5-like protein,Q99459,0.514,-0.164,-0.257,0.204,0.284,-0.859,0.410,0.171,0.265,0.076,-0.096,0.475,0.245,0.510,0.165,-0.719,0.942,-0.520,18,0.09,1.1,0.80306
Cell division cycle and apoptosis regulator protein 1,Q8IX12,-0.103,-0.355,-0.567,0.178,-0.353,-1.070,0.708,-0.102,0.083,-0.355,-0.301,0.030,-0.406,0.246,-0.246,-0.488,0.243,-2.095,18,-0.16,-1.1,0.49792
Cell division cycle protein 27 homolog,P30260,0.385,0.213,0.279,,,,,,,-0.265,-0.678,0.000,,,,,,,6,-0.58,-1.5,0.04073
Cell growth-regulating nucleolar protein,Q9NX58,-0.116,-1.060,-0.116,-0.771,0.026,-0.413,-0.110,-0.162,-0.255,0.084,-0.116,0.137,-0.520,0.783,-0.293,-0.455,0.223,-0.428,18,0.29,1.2,0.16858
Cellular nucleic acid-binding protein,P62633,,,,0.596,0.610,-0.054,0.028,0.227,0.134,,,,0.757,0.610,0.304,0.812,1.131,0.493,12,0.43,1.3,0.02656
Centrin-2,P41208,0.223,0.089,0.142,0.036,0.302,-0.270,1.190,0.552,-0.285,0.448,0.130,0.833,0.475,0.886,0.435,-0.232,0.738,-0.099,18,0.16,1.1,0.37727
Centriolin,Q7Z7A1,0.153,0.205,0.127,0.022,0.022,0.327,0.184,0.223,-0.108,-0.166,0.167,0.192,0.115,0.155,0.036,0.065,0.210,0.104,18,-0.03,-1.0,0.59758
Centrobin,Q8N137,,,,,,,0.040,-0.066,0.252,,,,,,,-0.092,0.066,0.132,6,-0.04,-1.0,0.74658
Centromere protein C 1,Q03188,0.718,-0.105,-0.119,0.005,0.257,-0.035,0.420,0.009,0.407,0.053,0.544,-0.173,0.284,0.217,0.191,0.075,0.289,-0.283,18,-0.05,-1.0,0.75892
Centromere/kinetochore protein zw10 homolog,O43264,,,,-0.306,-0.466,-0.039,,,,,,,0.080,-0.013,-0.385,,,,6,0.17,1.1,0.43247
Centrosomal protein of 135 kDa,Q66GS9,,,,-1.035,-0.411,-0.146,,,,,,,0.771,-0.902,-0.385,,,,6,0.49,1.4,0.55714
Centrosomal protein of 170 kDa,Q5SW79,0.252,-0.371,0.132,,,,,,,-0.478,-0.092,-0.306,,,,,,,6,-0.31,-1.2,0.25143
Centrosomal protein of 57 kDa,Q86XR8,,,,0.202,-0.157,0.122,0.462,0.011,0.197,,,,0.414,0.042,-0.211,-0.268,0.184,-0.174,12,-0.13,-1.1,0.32798
Centrosome-associated protein CEP250,Q9BV73,0.142,0.289,0.502,-0.039,0.174,0.093,-0.169,0.162,0.242,0.036,0.142,-0.575,0.054,0.107,0.147,0.056,0.056,0.189,18,-0.13,-1.1,0.20616
CGG triplet repeat-binding protein 1,Q9UFW8,0.328,0.076,0.209,0.909,-0.805,-0.938,0.211,0.318,0.264,0.209,0.435,0.515,0.669,0.736,1.201,0.318,0.384,0.278,18,0.40,1.3,0.05003
"Chaperone activity of bc1 complex-like, mitochondrial",Q8NI60,,,,,,,0.106,-0.438,-0.253,,,,,,,-0.783,-0.279,-0.199,6,-0.22,-1.2,0.40580
Charged multivesicular body protein 1b,Q7LBR1,,,,0.040,-0.160,0.199,,,,,,,0.132,0.213,-0.092,,,,6,0.06,1.0,0.69675
Charged multivesicular body protein 2a,O43633,0.196,0.527,0.341,0.020,-0.033,0.259,-0.162,0.662,-0.269,-0.191,0.129,-0.536,0.299,-0.100,0.020,0.436,-0.733,0.530,18,-0.16,-1.1,0.30166
Charged multivesicular body protein 3,Q9Y3E7,0.035,0.872,-0.031,-0.040,-0.040,-0.106,-0.009,0.005,-0.221,-1.119,0.142,-0.416,-0.066,0.253,-0.518,-0.381,0.231,-0.142,18,-0.26,-1.2,0.14654
Charged multivesicular body protein 4a,Q9BY43,0.003,0.415,-0.170,-0.123,-0.150,0.063,-0.890,0.586,0.254,-0.210,-0.156,-0.316,-0.096,-0.044,-0.084,0.040,-0.251,-0.173,18,-0.19,-1.1,0.34618
Charged multivesicular body protein 4b,Q9H444,,,,0.783,0.344,-0.241,-0.305,0.599,0.054,,,,-0.387,-0.227,-1.515,-1.101,0.121,-0.610,12,-0.78,-1.7,0.02188
Charged multivesicular body protein 5,Q9NZZ3,-0.383,-0.303,0.348,-0.536,-0.416,-0.178,-0.065,-0.077,-0.104,-0.105,-0.185,-0.303,0.540,-0.482,0.141,0.254,0.082,-1.020,18,0.11,1.1,0.69176
Charged multivesicular body protein 7,Q8WUX9,0.053,0.797,-0.400,1.332,-1.844,0.150,-1.359,0.887,-0.082,-1.090,0.651,-0.825,0.642,-0.222,-0.872,1.020,-1.941,0.661,18,-0.17,-1.1,0.73395
Chitinase domain-containing protein 1,Q9BWS9,-0.579,-0.486,-0.287,0.015,0.838,-2.100,0.179,-0.406,0.006,-0.180,-0.127,0.192,-0.768,-0.211,0.758,-0.991,-0.445,0.191,18,0.06,1.0,0.67178
Chitobiosyldiphosphodolichol beta-mannosyltransferase,Q9BT22,0.119,0.147,0.346,,,,,,,-0.092,0.000,0.186,,,,,,,6,-0.17,-1.1,0.18803
Chloride intracellular channel protein 1,O00299,-0.296,0.396,0.342,-0.487,-0.406,0.882,-3.718,-0.241,0.157,-0.270,0.289,-3.908,0.152,-3.155,-0.433,0.570,-0.466,0.251,18,-0.23,-1.2,0.57402
Chloride intracellular channel protein 4,Q9Y696,0.635,0.277,-1.038,-1.201,-0.297,-0.922,-2.268,-0.671,-0.591,-0.586,-1.440,-2.182,0.074,-2.913,0.926,-0.498,-0.153,-0.153,18,0.07,1.0,0.85010
"Choline dehydrogenase, mitochondrial",Q8NE62,-0.347,-0.015,-1.756,0.240,0.347,0.094,0.266,0.386,0.067,1.062,0.729,2.005,0.625,0.280,0.094,-0.078,0.187,0.851,18,0.76,1.7,0.03257
Choline transporter-like protein 2,Q8IWA5,-0.093,0.438,1.408,-0.318,-0.611,2.724,,,,0.146,0.930,0.399,-1.330,1.834,0.930,,,,12,-0.35,-1.3,0.87725
Choline/ethanolamine kinase,Q9Y259,,,,,,,-0.173,-0.039,-0.080,,,,,,,0.612,-0.531,0.252,6,0.28,1.2,0.57270
Choline-phosphate cytidylyltransferase A,P49585,0.132,0.318,0.158,0.088,0.048,0.088,0.125,0.179,0.125,0.265,0.212,-0.240,0.247,0.234,0.141,-0.074,0.299,0.191,18,0.01,1.0,0.98587
Chromatin complexes subunit BAP18,Q8IXM2,0.220,0.592,-2.382,0.606,0.367,-0.404,-0.800,0.143,-0.507,-0.073,0.938,0.393,0.832,-0.644,-1.069,-0.336,0.887,0.302,18,0.31,1.2,0.35384
Chromatin modification-related protein MEAF6,Q9HAF1,0.291,0.064,-0.029,-0.048,-0.209,0.269,1.300,-0.109,0.064,-0.161,-0.029,0.728,0.390,-0.247,0.709,-1.703,0.729,0.582,18,0.01,1.0,0.82909
Chromatin target of PRMT1 protein,Q9Y3Y2,-0.342,-0.262,-0.688,-0.107,-0.571,-0.466,0.435,0.143,-0.654,-0.368,-0.036,-0.275,0.013,-0.400,-0.440,-0.945,0.036,-0.986,18,-0.10,-1.1,0.58790
Chromobox protein homolog 1,P83916,-0.151,-0.112,0.220,0.282,0.229,-2.165,0.441,0.083,-1.244,-1.067,0.233,0.260,0.323,0.548,0.163,-0.475,0.959,-0.382,18,0.26,1.2,0.36184
Chromobox protein homolog 3,Q13185,0.480,-0.026,-3.838,0.184,-0.665,-0.692,0.466,0.385,-0.782,0.599,0.785,1.144,-0.705,0.889,0.132,-0.995,0.705,-0.636,18,0.54,1.5,0.19283
Chromobox protein homolog 5,P45973,0.190,-0.076,-1.073,0.728,-0.402,-0.255,0.531,0.717,-1.396,0.190,0.203,0.442,0.024,0.316,-0.535,-0.917,0.929,0.013,18,0.11,1.1,0.54972
Chromodomain-helicase-DNA-binding protein 1-like,Q86WJ1,0.080,0.186,0.545,,,,,,,0.213,0.160,-0.398,,,,,,,6,-0.27,-1.2,0.31096
Chromodomain-helicase-DNA-binding protein 2,O14647,-0.504,-0.318,-0.385,,,,,,,-0.385,-0.253,-0.466,,,,,,,6,0.04,1.0,0.69735
Chromodomain-helicase-DNA-binding protein 3,Q12873,,,,,,,0.358,0.346,0.518,,,,,,,-0.160,0.465,0.332,6,-0.17,-1.1,0.38002
Chromodomain-helicase-DNA-binding protein 4,Q14839,0.456,0.124,-0.022,0.500,0.646,0.049,0.811,-0.014,0.452,0.244,-0.235,1.267,-0.468,0.593,0.513,-0.052,0.598,0.040,18,0.00,1.0,0.78723
Chromosome alignment-maintaining phosphoprotein 1,Q96JM3,0.547,0.095,-0.968,0.444,-0.473,-0.419,0.989,0.404,0.352,-0.118,0.533,0.586,0.338,0.617,0.166,-0.977,0.710,-0.805,18,0.01,1.0,0.97716
Cip1-interacting zinc finger protein,Q9ULV3,,,,-0.385,-0.292,0.133,0.067,-0.490,0.293,,,,0.718,-0.452,-0.080,0.106,0.279,-0.612,12,0.15,1.1,0.66592
Cirhin,Q969X6,0.040,-0.716,0.399,0.306,0.585,-3.012,0.013,-0.903,-0.067,-0.252,-1.131,-0.862,-1.264,0.186,0.677,-0.451,-0.677,-0.438,18,-0.23,-1.2,0.82423
"Citrate lyase subunit beta-like protein, mitochondrial",Q8N0X4,-0.537,-0.510,-0.564,0.129,0.900,0.302,1.006,-0.495,0.036,-0.496,-0.324,0.286,-1.344,-1.225,-0.907,-0.415,-0.123,-2.153,18,-0.74,-1.7,0.02830
"Citrate synthase, mitochondrial",O75390,0.203,-2.120,-0.767,0.686,0.540,0.287,1.915,-2.904,0.374,-0.422,-1.219,1.332,-4.269,-0.311,0.074,-0.809,-1.436,-0.132,18,-0.62,-1.5,0.41213
C-Jun-amino-terminal kinase-interacting protein 4,O60271,-0.146,-0.066,0.225,,,,,,,0.027,-0.546,-0.398,,,,,,,6,-0.30,-1.2,0.20592
Clathrin heavy chain 1,Q00610,-0.772,-0.319,1.328,-0.023,-0.343,0.667,-1.609,-0.386,-0.055,0.756,-0.799,-3.803,-0.396,-3.132,-0.382,0.198,-1.316,-0.440,18,-0.57,-1.5,0.14978
Clathrin interactor 1,Q14677,0.144,-0.016,0.037,-0.025,0.227,-0.092,-0.450,0.201,-0.171,0.343,0.568,-1.067,0.613,-0.888,0.175,-0.104,0.029,0.506,18,0.13,1.1,0.87260
Clathrin light chain A,P09496,,,,-0.221,0.005,-0.142,-0.031,-0.257,-0.070,,,,0.163,-0.062,-0.075,0.181,0.194,-0.349,12,0.14,1.1,0.21739
Clathrin light chain B,P09497,0.178,0.057,0.151,-0.071,0.036,-0.058,-0.053,-0.186,0.571,0.044,0.178,0.031,0.355,0.128,0.249,-0.026,0.253,0.080,18,0.06,1.0,0.39328
Cleavage and polyadenylation specificity factor subunit 1,Q10570,-0.025,-1.701,-0.929,-0.360,-0.081,-0.786,0.586,-0.570,0.041,0.479,-0.318,0.958,-0.295,-0.002,-0.014,-0.956,0.187,-0.824,18,0.32,1.3,0.27554
Cleavage and polyadenylation specificity factor subunit 2,Q9P2I0,-0.126,0.035,-0.126,0.647,-0.216,-0.296,0.621,-1.240,0.249,0.021,0.433,0.445,-0.176,0.182,0.541,0.329,0.369,0.355,18,0.25,1.2,0.12600
Cleavage and polyadenylation specificity factor subunit 3,Q9UKF6,-0.021,-0.033,-0.127,-0.043,-0.004,-0.229,0.343,-0.375,-0.256,0.072,-0.167,-0.021,-0.109,0.011,0.077,0.090,0.183,-0.281,18,0.06,1.0,0.43761
Cleavage and polyadenylation specificity factor subunit 4,O95639,,,,0.027,-0.306,-0.306,,,,,,,-0.637,-0.133,-0.160,,,,6,-0.11,-1.1,0.59154
Cleavage and polyadenylation specificity factor subunit 5,O43809,0.539,-0.391,0.592,1.009,0.809,0.025,1.071,-0.259,0.805,1.044,1.150,1.363,-0.413,1.540,1.328,0.818,0.991,0.871,18,0.50,1.4,0.07533
Cleavage and polyadenylation specificity factor subunit 6,Q16630,0.157,-0.387,-1.253,0.347,-0.371,-1.193,-0.266,-0.280,-0.239,0.384,-0.068,-0.122,-0.183,0.308,-0.198,-0.491,0.266,-0.280,18,0.29,1.2,0.11041
Cleavage and polyadenylation specificity factor subunit 7,Q8N684,-0.591,-0.312,-0.325,-0.447,-0.541,-1.098,-0.157,-0.622,-0.847,-0.551,-0.392,-0.312,-0.514,0.443,-0.327,-0.768,0.228,-0.317,18,0.29,1.2,0.10997
Cleavage stimulation factor subunit 1,Q05048,0.070,0.189,0.003,-0.083,-0.043,0.103,0.597,0.079,0.411,0.150,-0.209,0.217,0.157,0.090,0.196,-0.120,0.411,-0.957,18,-0.13,-1.1,0.32566
Cleavage stimulation factor subunit 2,P33240,0.506,-0.091,-0.131,-0.591,0.086,-0.791,0.165,-0.273,-0.074,0.254,-0.756,0.387,0.723,-0.101,0.843,-0.247,0.391,0.206,18,0.35,1.3,0.14517
Cleavage stimulation factor subunit 2 tau variant,Q9H0L4,,,,0.017,-0.062,-0.329,-0.162,-0.216,-0.109,,,,-0.262,-0.421,0.043,-0.428,-0.203,0.103,12,-0.04,-1.0,0.63680
Cleavage stimulation factor subunit 3,Q12996,-0.415,-2.545,0.289,0.370,0.145,-1.370,0.895,-0.684,-0.155,0.953,-0.613,0.754,-1.330,0.330,0.278,-0.327,0.603,-1.907,18,0.23,1.2,0.61437
Cleft lip and palate transmembrane protein 1,O96005,,,,0.213,0.054,0.054,,,,,,,-0.253,0.293,0.213,,,,6,-0.01,-1.0,0.90485
Cleft lip and palate transmembrane protein 1-like protein,Q96KA5,,,,0.186,0.771,-0.120,,,,,,,0.425,0.332,0.571,,,,6,0.12,1.1,0.57668
Clusterin,P10909,,,,-1.009,1.435,2.299,,,,,,,-1.396,-1.900,1.435,,,,6,-1.28,-2.4,0.34670
"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Q11201,0.589,0.668,0.456,0.154,0.713,0.154,,,,0.257,0.616,0.310,0.607,0.594,0.674,,,,12,0.04,1.0,0.67851
C-Myc-binding protein,Q99417,,,,-0.571,-1.035,-0.265,,,,,,,-0.546,-0.240,-0.876,,,,6,0.06,1.0,0.82027
Coactosin-like protein,Q14019,-0.393,0.750,0.883,0.601,-0.209,1.466,-1.191,0.668,-0.341,0.564,0.803,-3.871,-0.608,-2.572,0.058,1.080,-0.912,-0.568,18,-0.53,-1.4,0.15122
Coagulation factor V,P12259,,,,-2.286,1.382,2.219,,,,,,,-1.009,0.265,-0.106,,,,6,-1.51,-2.8,0.64144
