"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"644","Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4","sp|P34932|HSP74_HUMAN",NA,NA,NA,NA,NA,NA,0.99,1.16,0.91,NA,NA,NA
"645","Protein-S-isoprenylcysteine O-methyltransferase OS=Homo sapiens GN=ICMT PE=1 SV=1","sp|O60725|ICMT_HUMAN",NA,NA,NA,NA,NA,NA,0.99,1.2,0.9,NA,NA,NA
"646","Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4","sp|P38919|IF4A3_HUMAN",NA,NA,NA,NA,NA,NA,0.98,1.03,1.21,NA,NA,NA
"647","CUGBP Elav-like family member 2 OS=Homo sapiens GN=CELF2 PE=1 SV=1","sp|O95319|CELF2_HUMAN",NA,NA,NA,NA,NA,NA,0.98,0.89,1.1,NA,NA,NA
"648","Alcohol dehydrogenase [NADP+] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3","sp|P14550|AK1A1_HUMAN",NA,NA,NA,NA,NA,NA,0.98,0.89,0.97,NA,NA,NA
"649","T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1","sp|P48643|TCPE_HUMAN",NA,NA,NA,NA,NA,NA,0.97,0.96,1.06,NA,NA,NA
"650","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1","sp|P46940|IQGA1_HUMAN",NA,NA,NA,NA,NA,NA,0.97,1.14,1.03,NA,NA,NA
"651","Histone H2A type 1-J OS=Homo sapiens GN=HIST1H2AJ PE=1 SV=3","sp|Q99878|H2A1J_HUMAN",NA,NA,NA,NA,NA,NA,0.97,0.69,0.71,NA,NA,NA
"652","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1","sp|O60264|SMCA5_HUMAN",NA,NA,NA,NA,NA,NA,0.97,1.04,0.97,NA,NA,NA
"653","Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1","sp|Q15020|SART3_HUMAN",NA,NA,NA,NA,NA,NA,0.96,1.22,1.11,NA,NA,NA
"654","Histone H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3","sp|Q99880|H2B1L_HUMAN",NA,NA,NA,NA,NA,NA,0.95,2.92,0.93,NA,NA,NA
"655","Transcriptional repressor CTCF OS=Homo sapiens GN=CTCF PE=1 SV=1","sp|P49711|CTCF_HUMAN",NA,NA,NA,NA,NA,NA,0.94,1.16,1.02,NA,NA,NA
"656","Superoxide dismutase [Mn], mitochondrial OS=Homo sapiens GN=SOD2 PE=1 SV=2","sp|P04179|SODM_HUMAN",NA,NA,NA,NA,NA,NA,0.94,1.23,0.96,NA,NA,NA
"657","Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3","sp|O15511|ARPC5_HUMAN",NA,NA,NA,NA,NA,NA,0.94,0.92,0.78,NA,NA,NA
"658","Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1","sp|P12004|PCNA_HUMAN",NA,NA,NA,NA,NA,NA,0.94,1,0.86,NA,NA,NA
"659","RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1","sp|P35637|FUS_HUMAN",NA,NA,NA,1.23,0.91,1.09,0.94,0.8,1.03,0.74,0.73,1
"660","Histone H2A.V OS=Homo sapiens GN=H2AFV PE=1 SV=3","sp|Q71UI9|H2AV_HUMAN",NA,NA,NA,0.86,NA,1.29,0.93,0.92,0.81,NA,NA,0.94
"661","60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1","sp|P62829|RL23_HUMAN",NA,NA,NA,NA,NA,NA,0.92,0.88,0.94,NA,NA,NA
"662","Putative small nuclear ribonucleoprotein polypeptide E-like protein 1 OS=Homo sapiens GN=SNRPEL1 PE=5 SV=1","sp|Q5VYJ4|RUEL1_HUMAN",NA,NA,NA,NA,NA,NA,0.91,0.96,1.16,NA,NA,NA
"663","Small nuclear ribonucleoprotein F OS=Homo sapiens GN=SNRPF PE=1 SV=1","sp|P62306|RUXF_HUMAN",1,0.85,NA,NA,NA,NA,0.91,0.93,1.19,NA,NA,NA
"664","Heterogeneous nuclear ribonucleoprotein G OS=Homo sapiens GN=RBMX PE=1 SV=3","sp|P38159|HNRPG_HUMAN",NA,NA,NA,NA,NA,NA,0.91,2.45,1.33,NA,NA,NA
"665","RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1","sp|Q9Y265|RUVB1_HUMAN",NA,NA,NA,NA,NA,NA,0.9,1.09,0.99,NA,NA,NA
"666","6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=1 SV=2","sp|Q01813|K6PP_HUMAN",NA,NA,NA,NA,NA,NA,0.89,1.19,1.02,NA,NA,NA
"667","Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2","sp|A6NHR9|SMHD1_HUMAN",NA,NA,NA,NA,NA,NA,0.89,1,0.96,NA,NA,NA
"668","Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2","sp|P60660|MYL6_HUMAN",NA,NA,NA,NA,NA,NA,0.88,0.91,0.84,NA,NA,NA
"669","40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3","sp|P62266|RS23_HUMAN",NA,NA,NA,NA,NA,NA,0.88,0.79,0.65,NA,NA,NA
"670","Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1","sp|Q9BQE3|TBA1C_HUMAN",NA,NA,NA,NA,NA,NA,0.88,0.97,0.73,NA,NA,NA
"671","UPF0027 protein C22orf28 OS=Homo sapiens GN=C22orf28 PE=1 SV=1","sp|Q9Y3I0|CV028_HUMAN",NA,NA,NA,NA,NA,NA,0.88,1.01,0.83,NA,NA,NA
"672","Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1","sp|Q14103|HNRPD_HUMAN",NA,NA,NA,NA,NA,NA,0.88,1.56,1.12,NA,NA,NA
"673","Protein NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1","sp|Q9BPW8|NIPS1_HUMAN",NA,NA,NA,NA,NA,NA,0.88,1.19,0.93,NA,NA,NA
"674","Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2","sp|Q99623|PHB2_HUMAN",NA,NA,NA,NA,NA,NA,0.88,0.76,0.61,NA,NA,NA
"675","Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=1 SV=1","sp|P15153|RAC2_HUMAN",NA,NA,NA,NA,NA,NA,0.87,0.78,0.76,NA,NA,NA
"676","Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1","sp|P63165|SUMO1_HUMAN",NA,NA,NA,NA,NA,NA,0.87,0.88,0.86,NA,NA,NA
"677","Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1","sp|P18754|RCC1_HUMAN",NA,NA,NA,NA,NA,NA,0.86,1.04,1.27,NA,NA,NA
"678","60S ribosomal protein L37 OS=Homo sapiens GN=RPL37 PE=1 SV=2","sp|P61927|RL37_HUMAN",NA,NA,NA,NA,NA,NA,0.86,0.89,0.98,NA,NA,NA
"679","Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1","sp|O43684|BUB3_HUMAN",NA,NA,NA,NA,NA,NA,0.86,0.39,1.03,NA,NA,NA
"680","Putative oxidoreductase GLYR1 OS=Homo sapiens GN=GLYR1 PE=1 SV=3","sp|Q49A26|GLYR1_HUMAN",NA,NA,NA,NA,NA,NA,0.86,0.87,0.84,NA,NA,NA
"681","Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=2","sp|P30536|TSPOA_HUMAN",NA,NA,NA,NA,NA,NA,0.86,1.13,0.75,NA,NA,NA
"682","UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3","sp|P30085|KCY_HUMAN",NA,NA,NA,1.08,1.14,0.98,0.85,0.9,0.91,NA,NA,NA
"683","Histone H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2","sp|P33778|H2B1B_HUMAN",NA,NA,NA,NA,NA,NA,0.85,0.68,0.67,NA,NA,NA
"684","Transportin-2 OS=Homo sapiens GN=TNPO2 PE=1 SV=3","sp|O14787|TNPO2_HUMAN",NA,NA,NA,NA,NA,NA,0.84,0.88,0.96,NA,NA,NA
"685","Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1 PE=1 SV=3","sp|Q13813|SPTA2_HUMAN",NA,NA,NA,0.86,NA,0.84,0.82,0.87,1.35,NA,NA,1
"686","Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2","sp|P43243|MATR3_HUMAN",NA,NA,NA,NA,NA,NA,0.82,1.32,0.79,NA,NA,NA
"687","Nuclear pore membrane glycoprotein 210 OS=Homo sapiens GN=NUP210 PE=1 SV=3","sp|Q8TEM1|PO210_HUMAN",NA,NA,NA,NA,NA,NA,0.82,1.37,0.92,NA,NA,NA
"688","ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4","sp|P12236|ADT3_HUMAN",NA,NA,NA,NA,NA,NA,0.82,0.97,0.74,NA,NA,NA
"689","THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1","sp|Q96FV9|THOC1_HUMAN",NA,NA,NA,NA,NA,NA,0.81,0.88,0.95,NA,NA,NA
"690","NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1","sp|P61081|UBC12_HUMAN",NA,NA,NA,NA,NA,NA,0.81,0.87,0.97,NA,NA,NA
"691","60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2","sp|P62910|RL32_HUMAN",NA,NA,NA,NA,NA,NA,0.81,0.66,0.86,NA,NA,NA
"692","Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4","sp|Q13185|CBX3_HUMAN",NA,NA,NA,NA,NA,NA,0.8,1.47,0.95,NA,NA,NA
"693","GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3","sp|P62826|RAN_HUMAN",NA,NA,NA,NA,NA,NA,0.8,0.9,0.79,NA,NA,NA
"694","Mitochondrial carrier homolog 2 OS=Homo sapiens GN=MTCH2 PE=1 SV=1","sp|Q9Y6C9|MTCH2_HUMAN",NA,NA,NA,NA,NA,NA,0.79,1.3,0.93,NA,NA,NA
"695","ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4","sp|Q08211|DHX9_HUMAN",NA,NA,NA,NA,NA,NA,0.77,1.1,0.92,NA,NA,NA
"696","1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Homo sapiens GN=AGPAT5 PE=1 SV=3","sp|Q9NUQ2|PLCE_HUMAN",NA,NA,NA,NA,NA,NA,0.72,1.19,0.97,NA,NA,NA
"697","DENN domain-containing protein 1C OS=Homo sapiens GN=DENND1C PE=1 SV=1","sp|Q8IV53|DEN1C_HUMAN",NA,NA,NA,NA,NA,NA,0.71,0.84,0.63,NA,NA,NA
"698","General transcription factor II-I OS=Homo sapiens GN=GTF2I PE=1 SV=2","sp|P78347|GTF2I_HUMAN",NA,NA,NA,NA,NA,NA,0.68,0.83,0.72,NA,NA,NA
"699","Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3","sp|P19367|HXK1_HUMAN",NA,NA,NA,NA,NA,NA,0.67,1.3,1.05,NA,NA,NA
"700","60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2","sp|P62888|RL30_HUMAN",NA,NA,NA,NA,NA,NA,0.66,0.46,0.7,NA,NA,NA
"701","Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2","sp|Q15428|SF3A2_HUMAN",NA,NA,NA,NA,NA,NA,0.62,0.63,0.86,NA,NA,NA
"702","Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1","sp|P62308|RUXG_HUMAN",NA,NA,NA,NA,NA,NA,0.6,0.89,0.74,NA,NA,NA
"703","Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3","sp|P23528|COF1_HUMAN",NA,NA,NA,NA,NA,NA,0.54,0.69,0.69,NA,NA,NA
"704","40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2","sp|P62249|RS16_HUMAN",NA,NA,NA,0.86,NA,0.95,0.47,1.23,0.47,NA,NA,1.01
"705","Ig gamma-3 chain C region OS=Homo sapiens GN=IGHG3 PE=1 SV=2","sp|P01860|IGHG3_HUMAN",NA,NA,NA,NA,NA,NA,0.36,0.46,0.2,NA,NA,NA
"706","HLA class II histocompatibility antigen, DRB1-1 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=2","sp|P04229|2B11_HUMAN",NA,NA,NA,NA,NA,NA,0.29,0.93,0.38,NA,NA,NA
"707","3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2","sp|P42765|THIM_HUMAN",NA,NA,NA,0.77,1.03,1.18,NA,NA,NA,NA,NA,NA
"708","60S ribosomal protein L26-like 1 OS=Homo sapiens GN=RPL26L1 PE=1 SV=1","sp|Q9UNX3|RL26L_HUMAN",NA,NA,NA,1.09,0.96,1.08,NA,NA,NA,NA,NA,NA
"709","Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1","sp|Q15417|CNN3_HUMAN",NA,NA,NA,1.12,1.14,0.95,NA,NA,NA,NA,NA,NA
"710","Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Homo sapiens GN=UQCRFS1 PE=1 SV=2","sp|P47985|UCRI_HUMAN",NA,NA,NA,0.82,1.07,1.04,NA,NA,NA,NA,NA,NA
"711","Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1","sp|P14406|CX7A2_HUMAN",NA,NA,NA,1.09,1.23,1.11,NA,NA,NA,NA,NA,NA
"712","Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1","sp|Q9UJU6|DBNL_HUMAN",NA,NA,NA,0.95,0.9,0.78,NA,NA,NA,NA,NA,NA
"713","Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens GN=ETFA PE=1 SV=1","sp|P13804|ETFA_HUMAN",NA,NA,NA,1.05,1.12,1.09,NA,NA,NA,NA,NA,NA
"714","Glutamate dehydrogenase 2, mitochondrial OS=Homo sapiens GN=GLUD2 PE=1 SV=2","sp|P49448|DHE4_HUMAN",NA,NA,NA,0.96,0.95,1.09,NA,NA,NA,NA,NA,NA
"715","Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2","sp|P34931|HS71L_HUMAN",NA,NA,NA,0.83,1.13,0.97,NA,NA,NA,NA,NA,NA
"716","Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2","sp|Q99729|ROAA_HUMAN",NA,NA,NA,0.92,1.26,1.04,NA,NA,NA,NA,NA,NA
"717","HLA class I histocompatibility antigen, B-59 alpha chain OS=Homo sapiens GN=HLA-B PE=2 SV=1","sp|Q29940|1B59_HUMAN",NA,NA,NA,1.07,1.01,1.3,NA,NA,NA,NA,NA,NA
"718","HLA class II histocompatibility antigen, DRB1-11 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=2 SV=1","sp|P20039|2B1B_HUMAN",NA,NA,NA,1.19,1.06,1.55,NA,NA,NA,NA,NA,NA
"719","Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2","sp|P42166|LAP2A_HUMAN",NA,NA,NA,1.29,1.11,0.96,NA,NA,NA,NA,NA,NA
"720","Platelet basic protein OS=Homo sapiens GN=PPBP PE=1 SV=3","sp|P02775|CXCL7_HUMAN",NA,NA,NA,1.35,1.37,1.26,NA,NA,NA,NA,NA,NA
"721","Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1","sp|Q15366|PCBP2_HUMAN",NA,NA,NA,1.14,0.99,1.02,NA,NA,NA,NA,NA,NA
"722","Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2","sp|P25788|PSA3_HUMAN",NA,NA,NA,0.88,0.94,0.8,NA,NA,NA,NA,NA,NA
"723","Putative 40S ribosomal protein S26-like 1 OS=Homo sapiens GN=RPS26P11 PE=5 SV=1","sp|Q5JNZ5|RS26L_HUMAN",NA,NA,NA,0.94,0.74,0.96,NA,NA,NA,NA,NA,NA
"724","Rho-related GTP-binding protein RhoC OS=Homo sapiens GN=RHOC PE=1 SV=1","sp|P08134|RHOC_HUMAN",NA,NA,NA,1.06,0.89,1,NA,NA,NA,NA,NA,NA
"725","#REF!","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","Spliceosome RNA helicase BAT1 OS=Homo sapiens GN=BAT1 PE=1 SV=1","sp|Q13838|UAP56_HUMAN",NA,NA,NA,1.05,1.16,1.14,NA,NA,NA,NA,NA,NA
"727","Tetratricopeptide repeat protein 30B OS=Homo sapiens GN=TTC30B PE=2 SV=1","sp|Q8N4P2|TT30B_HUMAN",NA,NA,NA,1.06,1.26,1.29,NA,NA,NA,NA,NA,NA
"728","40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2","sp|P62701|RS4X_HUMAN",NA,NA,NA,0.66,NA,0.62,NA,NA,NA,NA,NA,0.77
"729","5'-3' exoribonuclease 2 OS=Homo sapiens GN=XRN2 PE=1 SV=1","sp|Q9H0D6|XRN2_HUMAN",NA,NA,NA,1.01,NA,0.94,NA,NA,NA,NA,NA,1.01
"730","ATP-dependent RNA helicase DDX39 OS=Homo sapiens GN=DDX39 PE=1 SV=2","sp|O00148|DDX39_HUMAN",NA,NA,NA,NA,1.32,NA,NA,NA,NA,0.97,1.07,NA
"731","FAD-dependent oxidoreductase domain-containing protein 2 OS=Homo sapiens GN=FOXRED2 PE=1 SV=1","sp|Q8IWF2|FXRD2_HUMAN",NA,NA,NA,1.83,NA,1.94,NA,NA,NA,NA,NA,1.72
"732","Histone H2A.J OS=Homo sapiens GN=H2AFJ PE=1 SV=1","sp|Q9BTM1|H2AJ_HUMAN",NA,NA,NA,0.3,0.77,0.46,NA,NA,NA,1.45,1.43,0.79
"733","Histone H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3","sp|Q99880|H2B1L_HUMAN",NA,NA,NA,0.93,0.62,1.28,NA,NA,NA,1.29,1.09,1.29
"734","Histone H2B type 2-E OS=Homo sapiens GN=HIST2H2BE PE=1 SV=3","sp|Q16778|H2B2E_HUMAN",NA,NA,NA,0.76,0.56,1.6,NA,NA,NA,1.18,1.28,1.36
"735","Histone H3.2 OS=Homo sapiens GN=HIST2H3A PE=1 SV=3","sp|Q71DI3|H32_HUMAN",NA,NA,NA,1.18,0.92,1.27,NA,NA,NA,1.24,1.34,1.23
"736","Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2","sp|P51610|HCFC1_HUMAN",NA,NA,NA,1.08,NA,1.11,NA,NA,NA,NA,NA,1.07
"737","Ig mu heavy chain disease protein OS=Homo sapiens PE=1 SV=1","sp|P04220|MUCB_HUMAN",NA,NA,NA,NA,0.55,NA,NA,NA,NA,1.13,0.53,NA
"738","Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3","sp|P40926|MDHM_HUMAN",NA,NA,NA,NA,1.25,NA,NA,NA,NA,1.02,0.96,NA
"739","Myeloid cell nuclear differentiation antigen OS=Homo sapiens GN=MNDA PE=1 SV=1","sp|P41218|MNDA_HUMAN",NA,NA,NA,1.6,NA,1.53,NA,NA,NA,NA,NA,0.82
"740","Nuclear autoantigen Sp-100 OS=Homo sapiens GN=SP100 PE=1 SV=3","sp|P23497|SP100_HUMAN",NA,NA,NA,0.45,NA,0.81,NA,NA,NA,NA,NA,1.21
"741","Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens GN=PPIC PE=1 SV=1","sp|P45877|PPIC_HUMAN",NA,NA,NA,NA,0.97,NA,NA,NA,NA,1.13,1.22,NA
"742","Polypyrimidine tract-binding protein 2 OS=Homo sapiens GN=PTBP2 PE=1 SV=1","sp|Q9UKA9|PTBP2_HUMAN",NA,NA,NA,1.26,NA,1.21,NA,NA,NA,NA,NA,1.27
"743","Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2","sp|O43143|DHX15_HUMAN",NA,NA,NA,1.1,NA,1.19,NA,NA,NA,NA,NA,1.17
"744","Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1","sp|P62316|SMD2_HUMAN",NA,NA,NA,1.16,NA,0.96,NA,NA,NA,NA,NA,0.96
"745","Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens GN=SNRPN PE=1 SV=1","sp|P63162|RSMN_HUMAN",NA,NA,NA,1.27,1.13,1.01,NA,NA,NA,0.99,1.07,0.89
"746","Testis anion transporter 1 OS=Homo sapiens GN=SLC26A8 PE=1 SV=1","sp|Q96RN1|S26A8_HUMAN",NA,NA,NA,NA,0.66,NA,NA,NA,NA,0.9,0.89,NA
"747","Transformer-2 protein homolog beta OS=Homo sapiens GN=TRA2B PE=1 SV=1","sp|P62995|TRA2B_HUMAN",NA,NA,NA,1.01,NA,0.84,NA,NA,NA,NA,NA,0.8
"748","Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1","sp|Q9H4B7|TBB1_HUMAN",NA,NA,NA,0.78,NA,0.75,NA,NA,NA,NA,NA,1.14
"749","WD40 repeat-containing protein SMU1 OS=Homo sapiens GN=SMU1 PE=1 SV=2","sp|Q2TAY7|SMU1_HUMAN",NA,NA,NA,0.93,NA,0.86,NA,NA,NA,NA,NA,0.96
"750","X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3","sp|P13010|XRCC5_HUMAN",NA,NA,NA,0.7,NA,0.7,NA,NA,NA,NA,NA,0.8
"751","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
